repository,number,title,author,createdAt,mergedAt,firstReviewedAt,firstApprovedAt
"microsoft/Typescript",48172,"`arguments` should not be allowed in class static block","Zzzen","2022-03-08T05:01:35Z","2025-05-02T13:38:34Z","2022-03-08T19:51:31Z","2025-04-14T15:15:09Z"
"microsoft/Typescript",50372,"check usage before declaration for decorators","Zzzen","2022-08-19T12:28:10Z","2025-05-02T21:01:09Z","2022-08-19T13:41:12Z","2025-05-02T20:47:42Z"
"microsoft/Typescript",52095,"Fixed an issue with contextual type for intersection properties (take 2)","Andarist","2023-01-04T07:08:25Z","2024-08-19T21:14:11Z","2024-08-05T15:37:30Z","2024-08-06T17:54:15Z"
"microsoft/Typescript",52723,"Exclude completions of binding pattern variable initializers","zardoy","2023-02-11T18:43:04Z","2025-04-02T20:47:43Z","2025-04-02T19:12:07Z","2025-04-02T19:12:07Z"
"microsoft/Typescript",54759,"Preserve type parameter constraint in emitted mapped types while preserving their distributivity","Andarist","2023-06-23T22:28:04Z","2025-05-12T17:54:34Z","2023-07-24T19:09:47Z","2025-05-12T17:49:01Z"
"microsoft/Typescript",54849,"Improve inlining of string variables in template literals","Zzzen","2023-07-01T07:33:44Z","2024-08-15T17:46:23Z","2023-07-01T07:44:07Z","2024-08-15T17:43:48Z"
"microsoft/Typescript",55178,"fix(55168): Computed properties do not respect setter signatures","a-tarasyuk","2023-07-27T20:34:12Z","2024-10-22T20:10:55Z","2024-10-22T20:10:50Z","2024-10-22T20:10:50Z"
"microsoft/Typescript",55406,"CodeMapper support","zkat","2023-08-16T22:42:24Z","2024-05-22T23:47:08Z","2024-02-15T00:34:06Z","2024-05-01T18:06:01Z"
"microsoft/Typescript",55478,"Fixed a symbol display crash on expando members write locations","Andarist","2023-08-23T07:41:18Z","2025-04-01T20:40:59Z","2025-04-01T20:40:19Z","2025-04-01T20:40:19Z"
"microsoft/Typescript",55600,"Provide Syntax Checking for Regular Expressions","graphemecluster","2023-09-01T10:25:48Z","2024-04-19T23:51:08Z","2023-09-01T11:02:03Z","2024-04-19T23:51:08Z"
"microsoft/Typescript",55728,"Remove stableSort, rename sort to toSorted","jakebailey","2023-09-13T04:06:37Z","2024-07-24T01:17:07Z","2023-09-13T22:49:27Z","2023-09-13T22:49:27Z"
"microsoft/Typescript",55767,"fix(55765): Implement Interface Code Action is not available under certain circumstances","a-tarasyuk","2023-09-17T19:21:23Z","2024-05-10T21:46:51Z","2023-09-18T19:15:16Z","2024-05-08T22:14:58Z"
"microsoft/Typescript",55887,"error on variables that are used but never initialized","Zzzen","2023-09-27T06:36:33Z","2024-08-20T20:02:55Z","2023-09-27T06:42:55Z","2024-08-08T19:05:50Z"
"microsoft/Typescript",55955,"[Experiment] Some tweaking to handle project references for auto import","sheetalkamat","2023-10-02T23:27:56Z","2024-04-18T18:41:48Z","2024-04-15T17:47:32Z","2024-04-17T23:30:35Z"
"microsoft/Typescript",56105,"Use contextual type to determine this when determining member visibility","RyanCavanaugh","2023-10-13T21:26:59Z","2024-08-02T22:22:20Z","2023-11-03T17:56:20Z","2023-11-03T17:56:20Z"
"microsoft/Typescript",56201,"Fixed types of properties of contextual filtering mapped types","Andarist","2023-10-24T07:15:01Z","2024-08-08T15:58:20Z","2023-12-27T03:44:05Z","2024-08-08T15:46:48Z"
"microsoft/Typescript",56466,"Fixed an issue with broken `await using` declarations in `for of` loops","Andarist","2023-11-19T21:47:28Z","2024-05-31T17:55:29Z","2023-11-19T21:51:22Z","2024-01-04T21:22:04Z"
"microsoft/Typescript",56543,"Include all type parameters in completions within type parameters constraints","Andarist","2023-11-26T09:28:23Z","2024-09-09T17:35:58Z","2023-11-26T09:29:20Z","2023-12-12T17:49:13Z"
"microsoft/Typescript",56817,"Remove unused exports & dead code (using Knip)","webpro","2023-12-17T21:47:54Z","2024-06-27T21:24:02Z","2024-01-04T18:59:37Z","2024-06-20T18:57:49Z"
