repository,number,author,isApprove
"microsoft/Typescript",48172,"DanielRosenwasser",false
"microsoft/Typescript",48172,"Zzzen",false
"microsoft/Typescript",48172,"jakebailey",false
"microsoft/Typescript",48172,"sandersn",true
"microsoft/Typescript",50372,"Zzzen",false
"microsoft/Typescript",50372,"gabritto",true
"microsoft/Typescript",50372,"sandersn",true
"microsoft/Typescript",52095,"Andarist",false
"microsoft/Typescript",52095,"ahejlsberg",true
"microsoft/Typescript",52095,"gabritto",true
"microsoft/Typescript",52723,"jakebailey",true
"microsoft/Typescript",52723,"sandersn",true
"microsoft/Typescript",54759,"Andarist",false
"microsoft/Typescript",54759,"weswigham",true
"microsoft/Typescript",54849,"DanielRosenwasser",false
"microsoft/Typescript",54849,"Zzzen",false
"microsoft/Typescript",54849,"github-advanced-security",false
"microsoft/Typescript",54849,"jakebailey",true
"microsoft/Typescript",55178,"jakebailey",true
"microsoft/Typescript",55406,"MariaSolOs",false
"microsoft/Typescript",55406,"iisaduan",false
"microsoft/Typescript",55406,"navya9singh",false
"microsoft/Typescript",55406,"sandersn",true
"microsoft/Typescript",55406,"sheetalkamat",false
"microsoft/Typescript",55406,"zkat",false
"microsoft/Typescript",55478,"sandersn",true
"microsoft/Typescript",55600,"DanielRosenwasser",false
"microsoft/Typescript",55600,"graphemecluster",false
"microsoft/Typescript",55600,"jakebailey",false
"microsoft/Typescript",55600,"rbuckton",false
"microsoft/Typescript",55728,"DanielRosenwasser",true
"microsoft/Typescript",55728,"jakebailey",false
"microsoft/Typescript",55728,"sheetalkamat",false
"microsoft/Typescript",55767,"a-tarasyuk",false
"microsoft/Typescript",55767,"jakebailey",true
"microsoft/Typescript",55887,"DanielRosenwasser",false
"microsoft/Typescript",55887,"Zzzen",false
"microsoft/Typescript",55887,"gabritto",true
"microsoft/Typescript",55887,"jakebailey",false
"microsoft/Typescript",55955,"andrewbranch",true
"microsoft/Typescript",55955,"sheetalkamat",false
"microsoft/Typescript",56105,"sandersn",true
"microsoft/Typescript",56201,"Andarist",false
"microsoft/Typescript",56201,"andrewbranch",true
"microsoft/Typescript",56201,"julienandreu",false
"microsoft/Typescript",56466,"Andarist",false
"microsoft/Typescript",56466,"jakebailey",true
"microsoft/Typescript",56466,"rbuckton",true
"microsoft/Typescript",56543,"Andarist",false
"microsoft/Typescript",56543,"andrewbranch",true
"microsoft/Typescript",56543,"iisaduan",true
"microsoft/Typescript",56817,"jakebailey",true
"microsoft/Typescript",56817,"sheetalkamat",true
"microsoft/Typescript",56817,"webpro",false
"microsoft/Typescript",56907,"Andarist",false
"microsoft/Typescript",56907,"jakebailey",true
"microsoft/Typescript",56907,"sandersn",true
"microsoft/Typescript",56941,"Andarist",false
"microsoft/Typescript",56941,"andrewbranch",true
"microsoft/Typescript",56941,"gabritto",false
"microsoft/Typescript",56941,"king0920king0306",false
"microsoft/Typescript",56941,"sandersn",true
"microsoft/Typescript",56941,"weswigham",false
"microsoft/Typescript",57029,"andrewbranch",true
"microsoft/Typescript",57029,"jakebailey",false
"microsoft/Typescript",57029,"merceyz",false
"microsoft/Typescript",57029,"sheetalkamat",false
"microsoft/Typescript",57029,"weswigham",false
"microsoft/Typescript",57110,"Andarist",false
"microsoft/Typescript",57110,"sandersn",true
"microsoft/Typescript",57146,"a-tarasyuk",false
"microsoft/Typescript",57146,"iisaduan",true
"microsoft/Typescript",57167,"sandersn",true
"microsoft/Typescript",57196,"jakebailey",true
"microsoft/Typescript",57196,"sheetalkamat",false
"microsoft/Typescript",57201,"andrewbranch",true
"microsoft/Typescript",57201,"iisaduan",true
"microsoft/Typescript",57230,"DanielRosenwasser",false
"microsoft/Typescript",57230,"bakkot",false
"microsoft/Typescript",57230,"rbuckton",true
"microsoft/Typescript",57262,"DanielRosenwasser",false
"microsoft/Typescript",57262,"andrewbranch",true
"microsoft/Typescript",57262,"mjbvz",true
"microsoft/Typescript",57262,"navya9singh",false
"microsoft/Typescript",57262,"sheetalkamat",true
"microsoft/Typescript",57262,"zkat",false
"microsoft/Typescript",57281,"Andarist",false
"microsoft/Typescript",57281,"DanielRosenwasser",true
"microsoft/Typescript",57281,"jakebailey",true
"microsoft/Typescript",57281,"jean-michelet",false
"microsoft/Typescript",57281,"rbuckton",true
"microsoft/Typescript",57341,"Zzzen",false
"microsoft/Typescript",57341,"gabritto",true
"microsoft/Typescript",57467,"gabritto",true
"microsoft/Typescript",57492,"jakebailey",true
"microsoft/Typescript",57492,"sheetalkamat",false
